start,goal,net_add,net_del,net_temp,full_path,path,action,a_star_cost,a_star_ops,a_star_add,a_star_del,a_star_temp
9*10*11|1,1*2*7*9|1,3,2,0,[9*10*11|1]~~{(+2)}~~>[2*9*10|1]~~{(+1  7)}~~>[1*2*7*9|1],[9*10*11|1]~>[2*9*10|1]~>[1*2*7*9|1],{(+2)}~{(+1  7)}~,23.0,2,3,0,0
9*10*11|1,1*3*7*9|1,3,2,0,[9*10*11|1]~~{(+3)}~~>[3*9|1]~~{(+1  7)}~~>[1*3*7*9|1],[9*10*11|1]~>[3*9|1]~>[1*3*7*9|1],{(+3)}~{(+1  7)}~,23.0,2,3,0,0
9*10*11|1,4*7*9|1,2,2,0,[9*10*11|1]~~{(+4  7)}~~>[4*7*9|1],[9*10*11|1]~>[4*7*9|1],{(+4  7)}~,12.0,1,2,0,0
9*10*11|1,8*9|1,1,2,0,[9*10*11|1]~~{(+12)}~~>[9*11*12|1]~~{(+6)}~~>[6*9*11|1]~~{(+8)(-11)}~~>[6*8*9|1]~~{(-6)}~~>[8*9|1],[9*10*11|1]~>[9*11*12|1]~>[6*9*11|1]~>[6*8*9|1]~>[8*9|1],{(+12)}~{(+6)}~{(+8)(-11)}~{(-6)}~,43.2,4,3,2,0
9*10*11|1,4*5*10|1,,,,N/A,N/A,N/A,,,,,
9*10*11|1,4*5*6*10|1,,,,N/A,N/A,N/A,,,,,
9*10*11|1,7*10|1,1,2,0,[9*10*11|1]~~{(+12)}~~>[9*11*12|1]~~{(-9)}~~>[11*12|1]~~{(+7  10)(-11)}~~>[7*10|1],[9*10*11|1]~>[9*11*12|1]~>[11*12|1]~>[7*10|1],{(+12)}~{(-9)}~{(+7  10)(-11)}~,33.2,3,3,2,0
9*10*11|1,2*6*8*10|1,3,2,0,[9*10*11|1]~~{(+12)}~~>[9*11*12|1]~~{(+2  6)(-9)}~~>[2*6*12|1]~~{(+8  10)}~~>[2*6*8*10|1],[9*10*11|1]~>[9*11*12|1]~>[2*6*12|1]~>[2*6*8*10|1],{(+12)}~{(+2  6)(-9)}~{(+8  10)}~,35.1,3,5,1,0
9*10*11|1,3*4*6*8*10|1,4,2,0,[9*10*11|1]~~{(+12)}~~>[9*11*12|1]~~{(+6)(-9)}~~>[6*12|1]~~{(+4  8)}~~>[4*6*8|1]~~{(+3  10)}~~>[3*4*6*8*10|1],[9*10*11|1]~>[9*11*12|1]~>[6*12|1]~>[4*6*8|1]~>[3*4*6*8*10|1],{(+12)}~{(+6)(-9)}~{(+4  8)}~{(+3  10)}~,46.1,4,6,1,0
9*10*11|1,3*4*5*6*8*10|1,5,2,0,[9*10*11|1]~~{(+12)}~~>[9*11*12|1]~~{(+4  6)(-9)}~~>[4*6*12|1]~~{(+8  10)}~~>[4*6*8*10|1]~~{(+3  5)}~~>[3*4*5*6*8*10|1],[9*10*11|1]~>[9*11*12|1]~>[4*6*12|1]~>[4*6*8*10|1]~>[3*4*5*6*8*10|1],{(+12)}~{(+4  6)(-9)}~{(+8  10)}~{(+3  5)}~,47.1,4,7,1,0
9*10*11|1,3*4*9*10|1,2,1,0,[9*10*11|1]~~{(+3  4)}~~>[3*4*9*10|1],[9*10*11|1]~>[3*4*9*10|1],{(+3  4)}~,12.0,1,2,0,0
9*10*11|1,6*9*10|1,1,1,0,[9*10*11|1]~~{(+6)}~~>[6*9*10*11|1]~~{(-11)}~~>[6*9*10|1],[9*10*11|1]~>[6*9*10*11|1]~>[6*9*10|1],{(+6)}~{(-11)}~,21.1,2,1,1,0
9*10*11|1,7*9*10|1,1,1,0,[9*10*11|1]~~{(+7)}~~>[7*9*10*11|1]~~{(-11)}~~>[7*9*10|1],[9*10*11|1]~>[7*9*10*11|1]~>[7*9*10|1],{(+7)}~{(-11)}~,21.1,2,1,1,0
9*10*11|1,6*8*9*10|1,2,1,0,[9*10*11|1]~~{(+6)}~~>[6*9*10*11|1]~~{(+8)(-11)}~~>[6*8*9*10|1],[9*10*11|1]~>[6*9*10*11|1]~>[6*8*9*10|1],{(+6)}~{(+8)(-11)}~,22.1,2,2,1,0
9*10*11|1,1*11|1,1,2,0,[9*10*11|1]~~{(+12)}~~>[9*11*12|1]~~{(+1)(-9)}~~>[1*11|1],[9*10*11|1]~>[9*11*12|1]~>[1*11|1],{(+12)}~{(+1)(-9)}~,22.1,2,2,1,0
9*10*11|1,1*2*11|1,2,2,0,[9*10*11|1]~~{(+12)}~~>[9*11*12|1]~~{(+1)(-9)}~~>[1*11|1]~~{(+2)}~~>[1*2*11|1],[9*10*11|1]~>[9*11*12|1]~>[1*11|1]~>[1*2*11|1],{(+12)}~{(+1)(-9)}~{(+2)}~,33.1,3,3,1,0
9*10*11|1,1*7*11|1,2,2,0,[9*10*11|1]~~{(+12)}~~>[9*11*12|1]~~{(+1  7)(-9)}~~>[1*7*11|1],[9*10*11|1]~>[9*11*12|1]~>[1*7*11|1],{(+12)}~{(+1  7)(-9)}~,23.1,2,3,1,0
9*10*11|1,9*11|1,0,1,0,[9*10*11|1]~~{(+6)}~~>[6*9*10*11|1]~~{(+12)(-11)}~~>[6*9*10*12|1]~~{(-10)}~~>[6*9*12|1]~~{(+11)(-6  12)}~~>[9*11|1],[9*10*11|1]~>[6*9*10*11|1]~>[6*9*10*12|1]~>[6*9*12|1]~>[9*11|1],{(+6)}~{(+12)(-11)}~{(-10)}~{(+11)(-6  12)}~,43.400000000000006,4,3,4,0
9*10*11|1,7*9*11|1,1,1,0,[9*10*11|1]~~{(+7)}~~>[7*9*10*11|1]~~{(-10)}~~>[7*9*11|1],[9*10*11|1]~>[7*9*10*11|1]~>[7*9*11|1],{(+7)}~{(-10)}~,21.1,2,1,1,0
9*10*11|1,6*8*9*11|1,2,1,0,[9*10*11|1]~~{(+12)}~~>[9*11*12|1]~~{(+6  8)}~~>[6*8*9*11|1],[9*10*11|1]~>[9*11*12|1]~>[6*8*9*11|1],{(+12)}~{(+6  8)}~,23.0,2,3,0,0
9*10*11|1,10*11|1,,,,N/A,N/A,N/A,,,,,
9*10*11|1,2*10*11|1,,,,N/A,N/A,N/A,,,,,
